STEPS_PER_ACTION	GOOMBA_RANGE	KOOPA_RANGE	RUN_SCORE	RUN_TIME	STEPS
6	75	40	231.0	4.9161419	159
6	75	45	231.0	4.9210362	159
6	75	50	231.0	4.98834	159
6	75	55	231.0	4.9563256	159
6	75	60	231.0	4.9139194	159
6	75	65	231.0	5.0130469	159
6	75	70	231.0	4.9535822	159
6	75	75	231.0	4.9233431	159
6	75	80	231.0	4.9375859	159
6	80	30	1552.0	28.6828953	975
6	80	35	1549.0	31.2669367	1067
6	80	40	1549.0	31.1708557	1067
6	80	45	1549.0	31.0970037	1067
6	80	50	1823.0	38.686051	1315
6	80	55	1549.0	28.649199	977
6	80	60	1823.0	38.1380338	1309
6	80	65	1516.0	30.0300582	1027
6	80	70	1516.0	29.9126095	1027
6	80	75	1516.0	29.9126568	1027
6	80	80	1823.0	35.0286098	1219
7	30	30	1551.0	25.1671376	935
7	30	35	1551.0	25.2652803	935
7	30	40	1551.0	25.1329342	935
7	30	45	1544.0	25.6691965	949
7	30	50	1543.0	26.4020082	991
7	30	55	1543.0	26.4909274	991
7	30	60	1543.0	26.3715453	991
7	30	65	1884.0	34.0201428	1285
7	30	70	1889.0	33.2099372	1245
7	30	75	1889.0	33.1683715	1245
7	30	80	1513.0	26.5717511	993
7	35	30	1551.0	25.3269163	935
7	35	35	1551.0	25.2682564	935
7	35	40	1551.0	25.1713643	935
7	35	45	1544.0	25.7311441	949
7	35	50	1543.0	26.5143279	991
7	35	55	1543.0	26.7557375	991
7	35	60	1543.0	26.5905136	991
7	35	65	1884.0	34.2217655	1285
7	35	70	1889.0	33.0942559	1245
7	35	75	1889.0	33.2957442	1245
7	35	80	1513.0	26.6501621	993
7	40	30	1550.0	26.2473859	983
7	40	35	1547.0	27.1111055	1025
7	40	40	1544.0	27.3502359	1029
7	40	45	1548.0	28.0643395	1053
7	40	50	1548.0	26.4668781	989
7	40	55	1548.0	27.9843989	1053
7	40	60	3009.0	56.9127067	2239
7	40	65	3009.0	56.8622639	2239
7	40	70	3009.0	56.8630949	2239
7	40	75	3010.0	57.4150268	2232
7	40	80	3010.0	57.1599574	2232
7	45	30	1550.0	25.8854173	983
7	45	35	1547.0	27.6893614	1025
